Thread ID: 70174741057220
Total: 664.733650

 %self     total     self     wait    child    calls  name
  0.16      1.26     1.04     0.00     0.21   110703  ActiveRecord::Base#_run_initialize_callbacks (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/callbacks.rb:378}
  0.16     82.38     1.04     0.00    81.34   192521  ActiveRecord::ConnectionAdapters::DatabaseStatements#to_sql (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/database_statements.rb:7}
  0.15      1.02     1.02     0.00     0.00   555568  <Class::#<Class:0x007fa5a98517f8>>#allocate (ruby_runtime:0}
  0.15      1.76     1.01     0.00     0.74    61430  Time#getlocal (ruby_runtime:0}
  0.15      3.01     1.01     0.00     2.00   363374  <Module::Arel>#sql (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel.rb:38}
  0.15      7.62     1.00     0.00     6.62   161652  ActiveRecord::Locking::Optimistic::ClassMethods#locking_enabled? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/locking/optimistic.rb:144}
  0.15      1.05     1.00     0.00     0.05   794331  Hash#include? (ruby_runtime:0}
  0.15     33.42     0.98     0.00    32.43    61038  ActiveRecord::Base#assign_attributes (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1736}
  0.15      0.98     0.98     0.00     0.00   849375  Kernel#respond_to_missing? (ruby_runtime:0}
  0.15      2.70     0.98     0.00     1.72   161650  <Class::ActiveRecord::Base>#sanitize_sql_for_conditions (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:1362}
  0.15      1.45     0.97     0.00     0.48   354137  ActiveRecord::ConnectionAdapters::ConnectionPool#table_exists? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/connection_adapters/abstract/connection_pool.rb:125}
  0.15      0.98     0.97     0.00     0.01   512359  ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#primary_key (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/attribute_methods/primary_key.rb:15}
  0.14      0.96     0.96     0.00     0.00   707437  SQLite3::Statement#column_name (ruby_runtime:0}
  0.14      0.96     0.96     0.00     0.00  1107943  #<Class:0x007fa5a98517f8>#relation (ruby_runtime:0}
  0.14      0.96     0.96     0.00     0.00   544694  Array#compact (ruby_runtime:0}
  0.14     80.95     0.95     0.00    80.00   192520  Arel::Visitors::ToSql#accept (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:14}
  0.14      0.94     0.94     0.00     0.00   415680  <Class::Time>#allocate (ruby_runtime:0}
  0.14      2.38     0.93     0.00     1.45   354131  Arel::Visitors::ToSql#table_exists? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/visitors/to_sql.rb:99}
